time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,6,9,5,5.0,4.928571428571429
01h,3,3,2,2.0,1.9285714285714286
02h,3,1,2,0.42857142857142855,0.75
03h,0,1,1,0.42857142857142855,0.4642857142857143
04h,0,0,0,0.14285714285714285,0.21428571428571427
05h,2,1,1,0.7142857142857143,0.7142857142857143
06h,3,1,2,1.4285714285714286,2.107142857142857
07h,10,2,9,3.0,5.035714285714286
08h,25,0,12,3.7142857142857144,9.821428571428571
09h,36,2,27,10.142857142857142,17.642857142857142
10h,43,55,42,26.142857142857142,28.571428571428573
11h,44,36,47,25.0,28.285714285714285
12h,46,51,46,24.0,25.892857142857142
13h,45,36,31,20.285714285714285,24.178571428571427
14h,19,32,35,19.571428571428573,24.892857142857142
15h,0,51,42,22.428571428571427,27.785714285714285
16h,0,41,36,21.571428571428573,25.535714285714285
17h,0,45,19,17.714285714285715,22.678571428571427
18h,13,32,29,16.857142857142858,18.464285714285715
19h,32,33,29,18.0,18.214285714285715
20h,23,25,17,12.142857142857142,18.535714285714285
21h,28,30,23,14.857142857142858,17.821428571428573
22h,29,28,17,12.714285714285714,15.5
23h,17,11,14,8.285714285714286,8.75
